date, pm25, pm10, o3, no2, so2, co
2022/1/3, 19, 13, 19, 17, , 
2022/1/4, 27, 16, 18, 19, , 
2022/1/5, 23, 21, 25, 21, , 2
2022/1/6, 43, 9, 27, 21, , 
2022/1/7, 11, 11, 28, 12, , 
2022/1/8, 20, 11, 21, 18, , 
2022/1/9, 20, 21, 4, 24, , 
2022/1/10, 60, 14, 14, 19, , 
2022/1/11, 39, 22, 2, 29, , 
2022/1/12, 54, 33, 1, 25, 1, 4
2022/1/13, 80, 41, , 39, 2, 7
2022/1/14, 100, 41, 2, 22, , 2
2022/1/15, 107, 25, 15, 21, , 1
2022/1/16, 82, 31, 10, 30, 1, 3
2022/1/17, 49, 39, 7, 31, 2, 6
2022/1/18, 89, , , , , 
2021/10/1, 15, 17, 27, 7, , 
2021/10/2, 16, 10, 22, 5, , 
2021/10/3, 13, 11, , 10, , 
2021/10/4, 17, 13, , 12, , 
2021/10/5, 13, 15, , 14, , 
2021/10/6, 19, 19, , 14, , 
2021/10/7, 29, 18, , 17, , 
2021/10/8, 23, 31, , 26, , 
2021/10/9, 76, 35, , 15, , 
2021/10/10, 90, 22, , 20, , 
2021/10/11, 36, 26, , 15, , 
2021/10/12, 45, 22, , 18, , 
2021/10/13, 33, 22, , 15, , 
2021/10/14, 42, 20, , 23, , 
2021/10/15, 32, 24, , 19, , 
2021/10/16, 50, 21, , 16, , 
2021/10/17, 48, 19, , 14, , 
2021/10/18, 46, 18, , 6, , 
2021/10/19, 27, 25, , 7, , 
2021/10/20, 47, 25, , 12, , 
2021/10/21, 20, 15, , 18, , 
2021/10/22, 27, 16, , 15, , 
2021/10/23, 22, 14, , 10, , 
2021/10/25, 29, , , 11, , 
2021/10/26, 27, , , 7, , 
2021/10/27, 19, , , 10, , 
2021/10/28, 26, , , 12, , 
2021/10/29, 32, 8, 9, 12, , 
2021/10/30, 27, 11, 25, 4, , 
2021/10/31, 19, 15, 25, 12, , 
2021/11/1, 22, 17, 13, 23, , 
2021/11/2, 37, 31, 17, 19, , 
2021/11/3, 62, 17, 17, 12, , 
2021/11/4, 37, 35, 18, 21, , 
2021/11/5, 90, 27, 26, 9, , 1
2021/11/6, 72, 12, 23, 11, , 
2021/11/7, 28, 21, 11, 17, , 1
2021/11/8, 44, 15, 21, 16, , 1
2021/11/9, 33, 12, 18, 15, , 
2021/11/10, 29, 14, 19, 16, , 
2021/11/11, 41, 18, 22, 9, , 
2021/11/12, 34, 13, 17, 9, , 
2021/11/13, 22, 16, 15, 10, , 
2021/11/17, 47, 27, 15, 17, , 1
2021/11/18, 46, 22, 16, 21, , 1
2021/11/19, 37, 22, 23, 18, , 
2021/11/20, 50, 16, 20, 8, , 
2021/11/21, 32, 14, 19, 18, , 
2021/11/22, 22, 25, 2, 22, , 2
2021/11/23, 47, 42, 11, 21, 1, 3
2021/11/24, 87, 26, 15, 14, , 
2021/11/25, 55, 17, 20, 13, , 
2021/11/26, 34, 8, 25, 7, , 
2021/11/27, 17, 6, 23, 5, , 
2021/11/28, 21, 14, 8, 23, , 
2021/11/29, 32, 21, 20, 8, , 
2021/11/30, 42, 12, 24, 12, , 
2021/12/1, 16, 17, 17, 22, , 
2021/12/2, 22, 22, 17, 13, , 2
2021/12/3, 30, 23, 22, 17, , 1
2021/12/4, 59, 12, 22, 8, , 
2021/12/5, 25, 23, 17, 15, , 
2021/12/6, 25, 23, 26, 17, , 
2021/12/7, 13, 17, 27, 13, , 
2021/12/8, 19, 22, 21, 17, , 
2021/12/9, 26, 16, 24, 12, , 
2021/12/10, 23, 16, 16, 18, , 1
2021/12/11, 30, 13, 20, 8, , 
2021/12/12, 28, 9, 22, 9, , 
2021/12/13, 22, 13, 15, 13, , 
2021/12/14, 27, 17, 16, 18, , 
2021/12/15, 36, 37, 16, 27, , 1
2021/12/16, 46, 31, 19, 19, , 
2021/12/17, 51, 16, 16, 15, , 
2021/12/18, 43, 11, 15, 16, , 
2021/12/19, 21, 14, 21, 21, , 
2021/12/20, 29, 21, 22, 20, , 
2021/12/21, 48, , 5, 22, , 1
2021/12/22, 59, , 12, 14, , 
2021/12/23, 65, 15, 14, 18, , 
2021/12/24, 43, 10, 14, 10, , 
2021/12/25, 38, 15, 13, 15, , 2
2021/12/26, 58, 14, 22, 12, , 
2021/12/27, 50, 10, 26, 8, , 
2021/12/28, 28, 23, 20, 11, , 
2021/12/29, 26, 20, 21, 4, , 
2021/12/30, 31, 9, 21, 7, , 
2021/12/31, 32, 14, 18, 5, , 
2022/1/1, 45, 12, 28, 5, , 
2022/1/2, 35, 10, 28, 7, , 
2021/7/1, 43, 27, , 14, , 
2021/7/2, 57, 23, , 10, , 
2021/7/3, 42, 18, , 6, , 
2021/7/4, 20, 18, , 9, , 
2021/7/5, 14, 15, , 10, , 
2021/7/6, 18, 19, , 9, , 
2021/7/7, 28, 20, , 14, , 
2021/7/8, 34, 26, , 13, , 
2021/7/9, 41, 21, , 18, , 
2021/7/10, 27, 20, 28, 10, , 1
2021/7/11, 32, 19, 21, 16, , 1
2021/7/12, 24, 15, 29, 17, , 1
2021/7/13, 44, 19, 31, 11, , 1
2021/7/14, 40, 15, 18, 11, , 1
2021/7/16, 36, 16, 30, 15, , 1
2021/7/17, 37, 20, 42, 16, , 2
2021/7/18, 40, 29, 42, 17, , 1
2021/7/19, 45, 48, 45, 18, , 1
2021/7/20, 54, 48, 45, 26, , 1
2021/7/21, 61, 46, 37, 17, , 1
2021/7/22, 76, 29, 29, 11, , 
2021/7/23, 48, 28, 31, 20, , 1
2021/7/24, 47, 32, 24, 15, , 1
2021/7/25, 66, 23, 38, 13, , 1
2021/7/26, 52, 25, 30, 12, 1, 
2021/7/27, 44, 18, 20, 7, 1, 
2021/7/28, 21, 17, 23, 7, 1, 
2021/7/29, 13, 20, 22, 9, 1, 1
2021/7/30, 25, 14, 20, 11, 1, 1
2021/7/31, 22, 17, 18, 10, , 1
2021/8/1, 24, 15, 24, 15, 1, 
2021/8/2, 22, 19, 29, 13, 1, 
2021/8/3, 29, 19, 39, 17, , 
2021/8/4, 39, 23, 30, 11, , 
2021/8/5, 29, 16, 22, 9, , 
2021/8/6, 16, 16, 26, 8, , 
2021/8/7, 21, 15, 25, 6, , 
2021/8/8, 21, 14, 22, 10, , 
2021/8/9, 22, 18, 10, 12, , 
2021/8/10, 23, 18, 29, 10, , 
2021/8/11, 28, 18, 15, 12, , 
2021/8/12, 25, 16, 20, 10, , 
2021/8/13, 26, 22, 27, 10, , 
2021/8/14, 37, 20, 27, 9, , 
2021/8/15, 31, 19, 25, 12, , 
2021/8/16, 35, 21, 17, 17, , 
2021/8/17, 36, 22, , 13, , 
2021/8/18, 19, 19, 24, 11, , 
2021/8/19, 22, 17, 20, 14, , 
2021/8/20, 21, 18, 18, 10, , 
2021/8/21, 27, 15, 25, 9, , 
2021/8/22, 24, 17, 27, 11, , 
2021/8/23, 25, 22, 32, 8, , 
2021/8/24, 27, 21, 29, 7, , 
2021/8/25, 23, 18, 30, 11, , 1
2021/8/26, 21, 19, 23, 13, , 1
2021/8/27, 29, 22, 26, 13, , 2
2021/8/28, 33, 19, 28, 13, , 1
2021/8/29, 34, 14, 27, 7, , 1
2021/8/30, 22, 15, 28, 12, , 1
2021/8/31, 25, 18, 24, 14, , 1
2021/9/1, 31, 39, 30, 15, , 1
2021/9/2, 42, 111, 35, 20, , 1
2021/9/3, 48, 125, 32, 19, , 1
2021/9/4, 56, , 45, 18, , 1
2021/9/5, 58, 66, 37, 28, , 3
2021/9/6, 75, 44, 50, 24, , 3
2021/9/7, 74, 42, 50, 25, , 2
2021/9/8, 88, 39, 21, 17, , 1
2021/9/9, 65, 21, 23, 14, , 
2021/9/10, 22, 18, 35, 14, , 
2021/9/11, 23, 20, , 19, , 
2021/9/12, 36, 20, , 17, , 
2021/9/13, 33, 21, 10, 21, , 3
2021/9/14, 31, 28, 27, 24, , 2
2021/9/15, 53, 30, 29, 18, , 2
2021/9/16, 53, 26, 29, 16, , 1
2021/9/17, 39, 29, 37, 18, , 2
2021/9/18, 52, 37, 16, 17, , 2
2021/9/19, 66, 27, 24, 16, , 1
2021/9/20, 41, 32, 21, 20, , 2
2021/9/21, 46, 29, 27, 18, , 1
2021/9/22, 46, 25, 21, 18, , 1
2021/9/23, 35, 19, 27, 15, , 1
2021/9/24, 22, 19, 10, 13, , 1
2021/9/25, 27, 21, 33, 14, , 1
2021/9/26, 54, 17, 31, 13, , 
2021/9/27, 33, 14, 27, 11, , 1
2021/9/28, 19, 14, 22, 16, , 
2021/9/29, 17, 17, 25, 17, , 
2021/9/30, 21, 15, 25, 12, , 
2021/4/1, 88, 22, 33, 9, , 
2021/4/2, 52, 20, 34, 9, , 
2021/4/3, 50, 26, 36, 12, , 
2021/4/4, 55, 28, 32, 5, , 
2021/4/5, 57, 21, 29, 15, , 
2021/4/6, 40, 29, 28, 20, , 1
2021/4/7, 46, 29, 29, 12, 2, 
2021/4/8, 45, 21, 30, 15, 2, 
2021/4/9, 44, 21, 30, 15, , 
2021/4/10, 48, 15, 32, 9, , 
2021/4/11, 42, 17, 29, 20, , 
2021/4/12, 52, 29, 28, 26, 1, 1
2021/4/13, 65, 30, 34, 23, , 
2021/4/14, 71, 21, 31, 23, , 
2021/4/15, 49, 25, 34, 21, , 
2021/4/16, 52, 23, 36, 21, , 
2021/4/17, 54, 17, 37, 23, , 
2021/4/18, 50, 26, 35, 22, , 
2021/4/19, 70, 37, 35, 27, 1, 
2021/4/20, 85, 50, 30, 23, , 
2021/4/21, 124, 31, 29, 12, , 
2021/4/22, 63, 21, 29, 19, , 
2021/4/23, 51, 22, 39, 16, , 
2021/4/24, 54, 19, 35, 9, , 
2021/4/25, 50, 20, 35, 16, , 
2021/4/26, 44, 26, 21, 28, , 
2021/4/27, 53, 38, 39, 23, , 
2021/4/28, 71, 24, 32, 18, , 
2021/4/29, 58, 25, 35, 25, , 
2021/4/30, 55, 23, 37, 20, , 
2021/5/1, 61, , 36, , , 
2021/5/3, 51, 17, 32, 10, , 
2021/5/4, 41, 17, 27, 24, 1, 4
2021/5/5, 38, 15, 29, 19, 6, 5
2021/5/6, 45, 19, 32, 24, 15, 
2021/5/7, 39, 17, 26, 10, , 
2021/5/8, 23, 14, 24, 5, , 
2021/5/10, 21, 21, 37, 14, 2, 
2021/5/11, 21, 22, 35, 14, 2, 
2021/5/12, 20, 20, 27, 18, 2, 
2021/5/13, 18, 22, , 21, , 
2021/5/14, 23, 22, 21, 16, 1, 
2021/5/15, 21, 14, 28, 11, 1, 
2021/5/16, 18, 14, 25, 18, 1, 
2021/5/17, 22, 19, 26, 17, 2, 
2021/5/18, 25, 18, 30, 19, 1, 
2021/5/19, 25, 20, 30, 14, 1, 
2021/5/20, 27, 24, 30, 5, 2, 
2021/5/21, 29, 14, 28, 9, 3, 1
2021/5/22, 21, 14, 34, 8, 3, 
2021/5/23, 19, 12, 33, 13, 3, 
2021/5/24, 18, 14, 29, 16, 4, 
2021/5/25, 21, 23, 30, 21, 3, 
2021/5/26, 32, 29, 36, 26, 3, 1
2021/5/27, 39, 29, 29, 24, 4, 1
2021/5/28, 46, 29, 38, 14, 4, 1
2021/5/29, 55, 22, 35, 14, 3, 
2021/5/30, 46, 28, 45, 13, 3, 
2021/5/31, 55, 30, 52, 19, 4, 
2021/6/1, 52, 31, 53, 21, 4, 1
2021/6/2, 48, 31, 35, 14, 4, 
2021/6/3, 56, 25, 18, 18, 1, 1
2021/6/4, 43, 23, 40, 19, , 1
2021/6/5, 45, 23, 27, 16, , 1
2021/6/6, 32, 20, 34, 15, , 1
2021/6/7, 25, 24, 37, 19, , 1
2021/6/8, 32, 26, 35, 14, , 
2021/6/9, 32, 28, 20, 11, , 1
2021/6/10, 26, 25, 21, 14, , 1
2021/6/11, 24, 25, 33, 16, , 1
2021/6/12, 26, 26, 38, 15, , 1
2021/6/13, 42, 26, 32, 17, , 1
2021/6/14, 36, 28, 39, 13, 1, 
2021/6/15, 32, 27, 38, 16, 1, 1
2021/6/16, 50, 28, 22, 17, , 1
2021/6/23, 24, 30, 22, 18, , 1
2021/6/24, 46, 26, 27, 13, , 1
2021/6/25, 42, 20, 29, 11, , 1
2021/6/26, 33, 18, 30, 14, , 1
2021/6/27, 37, 21, 21, 13, , 1
2021/6/28, 47, 20, 22, 11, , 1
2021/6/29, 46, 18, , 14, , 
2021/6/30, 38, 21, , 20, , 
2021/1/4, 41, 8, 19, 11, , 3
2021/1/5, 35, 9, 13, 15, , 3
2021/1/6, 38, 18, 7, 23, , 3
2021/1/7, 65, 21, 7, 23, 1, 4
2021/1/8, 78, 16, 14, 28, , 4
2021/1/9, 73, 17, 13, 16, 1, 3
2021/1/10, 71, 13, 26, 14, 1, 3
2021/1/11, 57, 8, 26, 13, 1, 3
2021/1/12, 34, 15, 15, 26, 3, 4
2021/1/13, 63, 11, 16, 20, 1, 3
2021/1/14, 49, 11, 12, 19, 1, 3
2021/1/15, 55, 18, 15, 20, 2, 2
2021/1/16, 72, 11, 22, 18, 1, 2
2021/1/17, 49, 13, 27, 16, 1, 2
2021/1/18, 55, 7, 27, 8, , 2
2021/1/19, 38, 7, 28, 6, 8, 2
2021/1/20, 37, 9, 28, 12, 7, 2
2021/1/21, 40, 13, 17, 20, 6, 2
2021/1/22, 50, 14, 21, 19, 5, 2
2021/1/23, 55, 13, 24, 21, 5, 3
2021/1/24, 62, 11, 19, 23, 3, 2
2021/1/25, 59, 13, 20, 23, 2, 3
2021/1/26, 59, 12, 12, 23, 3, 3
2021/1/27, 55, 13, 23, 16, 6, 3
2021/1/28, 52, 11, 28, 15, 7, 4
2021/1/29, 47, 10, 17, 12, 7, 4
2021/1/30, 48, 10, 20, 12, 8, 4
2021/1/31, 49, 14, 13, 19, 8, 4
2021/2/1, 65, 17, 13, 12, 9, 5
2021/2/2, 64, 18, 12, 18, , 
2021/2/3, 56, 13, 13, 17, , 
2021/2/4, 54, 10, 20, 18, , 
2021/2/5, 47, 13, 13, 19, , 
2021/2/6, 56, 15, 30, 6, , 
2021/2/7, 57, 10, 27, 14, , 
2021/2/8, 48, 10, 25, 17, , 
2021/2/9, 50, 20, 26, , , 
2021/2/10, 50, 20, 21, , , 
2021/2/11, 58, 21, 26, 13, , 
2021/2/12, 66, 19, 26, 8, , 1
2021/2/13, 59, 19, 27, 8, , 1
2021/2/14, 56, 17, 24, 14, , 1
2021/2/15, 58, 13, 25, 9, , 1
2021/2/16, 52, 14, 31, 6, , 1
2021/2/17, 52, 13, 29, 11, , 1
2021/2/18, 44, 14, 28, 10, , 1
2021/2/19, 47, 28, 29, 7, , 1
2021/2/20, 59, 28, 26, 10, , 1
2021/2/21, 62, 29, 10, 25, , 2
2021/2/22, 76, 20, 31, 8, , 1
2021/2/23, 68, 17, 29, 9, 1, 1
2021/2/24, 48, 24, 29, 24, , 1
2021/2/25, 54, 37, 23, 28, , 2
