date, pm25, pm10, o3, no2, so2, co
2021/2/26, 61, 42, 30, 30, , 4
2021/2/27, 82, 32, 21, 19, , 1
2021/2/28, 84, 27, 23, 18, , 1
2021/3/1, 79, 36, 22, 17, , 2
2021/3/2, 103, 48, , 24, , 2
2021/3/3, 135, 32, 30, 20, 2, 1
2021/3/4, 103, 19, 28, 18, 1, 
2021/3/5, 51, 20, 28, 21, 1, 
2021/3/6, 51, 20, 30, 19, 1, 1
2021/3/7, 58, 43, 17, 29, 2, 2
2021/3/8, 102, 42, 30, 21, 2, 1
2021/3/9, 81, 25, 28, 6, 1, 
2021/3/10, 66, 15, 28, 10, 1, 
2021/3/11, 48, 16, 31, 10, 1, 
2021/3/12, 44, 13, 32, 8, 2, 
2021/3/13, 39, 10, 27, 8, 1, 
2021/3/14, 44, 14, 31, 17, 1, 
2021/3/15, 52, 24, 25, 13, 1, 
2021/3/16, 57, 27, 24, 13, 1, 
2021/3/17, 58, 28, 21, 16, 1, 
2021/3/18, 57, 20, 30, 15, 1, 
2021/3/19, 50, 20, 20, 17, 1, 
2021/3/20, 52, 18, 31, 14, 1, 1
2021/3/21, 57, 25, 27, 21, 1, 
2021/3/22, 67, 31, 28, 16, 1, 1
2021/3/23, 74, 30, 26, 15, , 
2021/3/24, 74, 24, 31, 11, 1, 
2021/3/25, 57, 17, 31, 9, , 
2021/3/26, 47, 13, 32, 8, , 
2021/3/27, 40, 19, 34, 3, , 
2021/3/28, 47, 23, 34, 11, , 
2020/10/1, 49, 16, 18, 15, 4, 2
2020/10/2, 44, 11, 23, 14, 5, 2
2020/10/3, 55, 8, 24, 6, 6, 2
2020/10/4, 35, 10, 19, 13, 4, 2
2020/10/5, 45, 13, 18, 13, 4, 2
2020/10/6, 40, 14, 16, 12, 1, 2
2020/10/7, 38, 11, 19, 17, 1, 2
2020/10/8, 42, 15, 14, 18, 1, 3
2020/10/9, 47, , 17, , , 2
2020/10/12, 51, 13, , 19, 2, 2
2020/10/13, 48, 15, 18, 17, 1, 2
2020/10/14, 53, 16, 18, 17, , 2
2020/10/15, 45, 20, 16, 26, 1, 2
2020/10/16, 49, 23, 18, 16, 2, 2
2020/10/17, 53, 20, 10, 18, 3, 3
2020/10/18, 62, 20, 24, 15, 4, 3
2020/10/19, 64, 19, 20, 16, 6, 2
2020/10/20, 55, 19, 24, 15, 6, 2
2020/10/21, 58, 11, 23, 16, 4, 2
2020/10/22, 47, 16, 21, 15, 3, 2
2020/10/23, 50, 13, 27, 8, 5, 1
2020/10/24, 41, 8, 21, 12, 6, 1
2020/10/25, 37, 11, 16, 16, 6, 2
2020/10/26, 41, 12, 17, 15, 5, 2
2020/10/27, 42, 12, 20, 15, 5, 1
2020/10/28, 42, 9, 24, 8, 3, 1
2020/10/29, 40, 11, 25, 7, 3, 1
2020/10/30, 45, 10, 24, 8, 4, 1
2020/10/31, 44, 15, 26, 2, 6, 1
2020/11/1, 49, 9, 23, 11, 6, 1
2020/11/2, 44, 11, 20, 25, 4, 1
2020/11/3, 42, 19, 10, 33, 3, 4
2020/11/4, 52, 48, 1, 34, 4, 7
2020/11/5, 106, 64, 2, 28, 4, 4
2020/11/6, 156, 33, 2, 24, 5, 4
2020/11/7, 82, 40, 2, 17, 5, 4
2020/11/8, 111, 24, 4, 19, 2, 3
2020/11/9, 72, 31, 13, 23, , 3
2020/11/10, 49, 48, 18, 15, , 3
2020/11/11, 49, 15, 21, 12, 1, 2
2020/11/12, 36, 18, 19, 19, 1, 3
2020/11/13, 39, 19, 24, 7, 2, 3
2020/11/14, 46, 19, 26, 3, 4, 3
2020/11/15, 42, 14, 21, 13, 1, 2
2020/11/16, 36, 15, 24, 11, , 3
2020/11/17, 39, 16, 24, 11, , 3
2020/11/18, 42, 11, 23, 17, , 3
2020/11/19, 46, 15, 20, 24, , 3
2020/11/20, 52, 8, 24, 9, , 3
2020/11/21, 33, 8, 17, 21, , 3
2020/11/22, 34, 18, 12, 24, 1, 4
2020/11/23, 59, 14, 21, 14, 5, 3
2020/11/24, 48, 17, 17, 19, 6, 4
2020/11/25, 53, 24, 10, 33, 5, 4
2020/11/26, 60, 36, , 29, 7, 7
2020/11/27, 80, 35, , 25, 6, 5
2020/11/28, 96, 30, , 22, 4, 4
2020/11/29, 95, 25, , 17, 4, 4
2020/11/30, 88, 24, 15, 25, 4, 3
2020/12/1, 54, 41, 6, 28, 6, 4
2020/12/2, 69, 24, 17, 24, 11, 4
2020/12/3, 61, 12, 17, 20, 13, 3
2020/12/4, 51, 11, 20, 17, 10, 3
2020/12/5, 46, 17, 16, 15, 9, 4
2020/12/6, 56, 19, 9, 27, 10, 4
2020/12/7, 66, 22, 5, 22, 10, 5
2020/12/8, 71, 20, 12, 25, 9, 4
2020/12/9, 63, 19, 15, 13, 11, 4
2020/12/10, 55, 14, 18, 24, 14, 5
2020/12/11, 45, 18, 16, 19, 11, 4
2020/12/12, 58, 14, 25, 11, 11, 4
2020/12/13, 46, 11, 27, 12, 11, 3
2020/12/14, 35, 13, 24, 17, 10, 4
2020/12/15, 39, 14, 22, 21, 10, 4
2020/12/16, 44, 12, 21, 18, 8, 3
2020/12/17, 43, 13, 22, 8, , 2
2020/12/18, 42, 12, 25, 9, 1, 2
2020/12/19, 42, 10, 26, 9, , 2
2020/12/20, 36, 11, 23, 8, 1, 3
2020/12/21, 33, 12, 25, 20, 1, 3
2020/12/22, 34, 16, 20, 13, 2, 3
2020/12/23, 44, 8, 24, 7, , 2
2020/12/24, 32, 10, 21, 10, , 2
2020/12/25, 39, 12, 29, 4, 1, 2
2020/12/26, 39, 9, 29, 10, 7, 3
2020/12/27, 26, 12, 12, 17, 8, 3
2020/12/28, 50, 13, 17, 12, 6, 2
2020/12/29, 60, 16, 8, 25, 3, 4
2020/12/30, 58, 22, 11, 19, 4, 3
2020/12/31, 70, 26, 11, 14, 2, 3
2021/1/1, 79, 14, 14, 13, 1, 3
2021/1/2, 61, , 14, 13, , 3
2020/7/1, 13, 12, 21, 14, 7, 4
2020/7/2, 19, 13, 25, 19, 6, 4
2020/7/3, 28, 10, 19, 32, 7, 4
2020/7/4, 13, 12, 24, 31, 7, 4
2020/7/5, 9, 18, 23, 27, 5, 4
2020/7/6, 21, 17, 24, 16, 5, 4
2020/7/7, 18, 19, 12, 13, 7, 5
2020/7/8, 15, 14, 18, 8, 4, 5
2020/7/9, 11, 10, 21, 12, , 1
2020/7/11, 25, 17, 39, 21, , 
2020/7/15, 19, 16, 18, 11, , 1
2020/7/16, 13, 21, 24, 16, , 1
2020/7/17, 17, 23, 22, 8, 1, 1
2020/7/18, 18, 11, 23, 10, 1, 1
2020/7/19, 7, 13, 29, 11, , 
2020/7/20, 21, 19, 30, 15, , 
2020/7/21, 25, 20, 41, 11, , 1
2020/7/23, 30, 19, 22, 13, 2, 1
2020/7/24, 23, 14, 17, 6, 3, 1
2020/7/25, 13, 10, 16, 6, 3, 1
2020/7/26, 14, 14, 17, 7, 3, 1
2020/7/27, 17, 13, 21, 13, 3, 1
2020/7/28, 21, 15, 28, 16, 2, 2
2020/7/29, 21, 18, 37, 18, 2, 2
2020/7/30, 19, 21, 52, 27, 3, 3
2020/7/31, 25, 25, 21, 9, 3, 2
2020/8/1, 28, 13, 23, 7, 3, 2
2020/8/2, 21, 12, 27, 13, 3, 2
2020/8/3, 11, 17, 29, 14, 3, 2
2020/8/4, 22, 17, 29, 9, 3, 2
2020/8/5, 16, 13, 17, 12, 3, 2
2020/8/6, 7, 22, , 31, , 
2020/8/7, 29, 35, 52, 22, 3, 3
2020/8/8, 50, 32, 65, 27, 3, 3
2020/8/9, 55, 33, 68, 19, 4, 3
2020/8/10, 56, 41, 83, 30, 4, 4
2020/8/11, 76, 40, 85, 28, 5, 4
2020/8/12, 85, 37, 51, 17, 5, 3
2020/8/13, 80, 24, 31, 16, 4, 3
2020/8/14, 52, 24, 24, 11, 4, 3
2020/8/15, 50, 25, 32, 14, 5, 3
2020/8/16, 63, 15, 32, 15, 5, 3
2020/8/17, 26, 10, 24, 10, 5, 3
2020/8/18, 9, 11, 16, 10, 5, 3
2020/8/19, 5, 16, 28, 12, 4, 2
2020/8/20, 18, 20, 28, 5, 4, 2
2020/8/21, 24, 16, 28, 5, 3, 2
2020/8/22, 23, 11, 25, 9, 2, 2
2020/8/23, 17, 11, 23, 13, 2, 2
2020/8/24, 20, 12, , 5, , 
2020/8/25, 5, , , , , 
2020/8/31, 23, 18, 9, 25, 1, 5
2020/9/1, 47, 19, 27, 19, , 
2020/9/2, 47, 15, 20, 11, , 1
2020/9/3, 24, 16, 20, 16, , 
2020/9/4, 25, 19, 18, 14, , 
2020/9/5, 38, 16, 19, 14, , 
2020/9/6, 42, 17, 14, 14, , 1
2020/9/7, 43, 17, 13, 14, , 1
2020/9/8, 25, 18, 13, 15, , 1
2020/9/12, 22, 14, 23, 10, 2, 2
2020/9/13, 30, 20, 33, 25, 3, 3
2020/9/14, 39, 34, 36, 27, 4, 3
2020/9/15, 81, 38, 39, 22, 2, 2
2020/9/16, 77, 26, 26, 14, 2, 1
2020/9/17, 51, 21, 29, 19, 2, 2
2020/9/18, 34, 24, 39, 14, 4, 2
2020/9/19, 41, 22, 36, 12, 3, 2
2020/9/20, 46, 25, 25, 24, 4, 3
2020/9/21, 49, 30, 39, 20, 6, 3
2020/9/22, 62, 17, 30, 14, 7, 2
2020/9/23, 49, 9, 21, 14, 6, 2
2020/9/24, 27, 18, 21, 10, 1, 1
2020/9/25, 44, 15, 22, 7, , 1
2020/9/26, 33, 12, 23, 5, , 1
2020/9/27, 35, 16, 19, 19, , 2
2020/9/28, 43, 21, 14, 16, , 3
2020/9/29, 56, 20, 22, 16, 1, 3
2020/9/30, 55, 18, 19, 21, 3, 2
2020/4/1, 52, 22, 32, 20, 8, 2
2020/4/2, 51, 20, 32, 18, 9, 2
2020/4/3, 56, 21, 36, 9, 9, 3
2020/4/4, 68, 17, 40, 7, 11, 2
2020/4/5, 61, 15, 34, 14, 8, 2
2020/4/6, 54, 21, 35, 18, 4, 3
2020/4/7, 59, 33, 38, 22, 5, 3
2020/4/8, 89, 50, 36, 22, 6, 3
2020/4/9, 149, 37, 38, 15, 5, 3
2020/4/10, 109, 33, 45, 17, 6, 3
2020/4/11, 97, 29, 43, 10, 7, 3
2020/4/12, 85, 19, 31, 5, 5, 2
2020/4/13, 61, 18, 31, 11, 4, 2
2020/4/14, 46, 21, 32, 14, 6, 3
2020/4/15, 56, 38, 31, 24, 7, 3
2020/4/16, 97, 35, 30, 14, 7, 3
2020/4/17, 87, 20, 24, 12, 7, 3
2020/4/18, 61, 24, 37, 8, 6, 2
2020/4/19, 67, 22, 36, 10, 7, 2
2020/4/20, 53, 29, 29, 14, 7, 3
2020/5/20, 39, 20, 49, 29, 1, 3
2020/5/21, 36, 22, 36, 31, 1, 3
2020/5/22, 34, 28, 34, 29, , 3
2020/5/23, 39, 20, 31, 30, , 3
2020/5/24, 33, 20, 44, 28, , 3
2020/5/25, 46, 21, 40, 29, , 3
2020/5/26, 52, 20, 38, 26, , 3
2020/5/27, 49, 17, 31, 18, 1, 3
2020/5/28, 41, 19, 35, 18, 2, 3
2020/5/29, 27, 19, 45, 18, 3, 3
2020/5/30, 31, 19, 39, 16, 2, 3
2020/5/31, 37, 17, 43, 21, 3, 3
2020/6/1, 27, 21, 39, 25, 3, 3
2020/6/2, 43, 28, 32, 34, 5, 4
2020/6/3, 46, 19, 28, 25, 5, 3
2020/6/4, 29, 18, 28, 28, 6, 3
2020/6/5, 15, 16, 23, 30, 5, 3
2020/6/6, 20, 12, 24, 26, 3, 3
2020/6/7, 40, 15, 25, 19, 2, 3
2020/6/8, 28, 20, 32, 33, 1, 3
2020/6/9, 28, 22, 26, 26, 3, 4
2020/6/10, 53, 19, 32, 17, 4, 4
2020/6/11, 54, 24, 28, 17, 5, 4
2020/6/12, 60, 25, 31, 14, 4, 4
2020/6/13, 61, 18, 33, 8, 4, 4
2020/6/14, 37, 16, 32, 18, 4, 4
2020/6/15, 35, 17, 33, 12, 4, 4
2020/6/16, 32, 17, 29, 17, 4, 4
2020/6/17, 39, 16, 34, 14, 4, 4
2020/6/18, 23, 16, 29, 9, 4, 4
2020/6/19, 21, 14, 24, 11, 3, 4
2020/6/20, 33, 13, 23, 6, 4, 4
2020/6/21, 21, 17, 29, 11, 3, 4
2020/6/22, 34, 21, 41, 9, 3, 4
2020/6/23, 43, 27, 75, 19, 5, 5
2020/6/24, 53, 29, 72, 22, 6, 5
2020/6/25, 56, 28, 51, 16, 7, 5
2020/6/26, 50, 18, 24, 5, 7, 4
2020/6/27, 34, 10, 25, 4, 6, 4
2020/6/28, 25, 13, 24, 9, 6, 4
2020/6/29, 19, 16, 20, 10, 7, 4
2020/6/30, 10, 14, 18, 10, 7, 5
2020/1/1, 98, 23, , 10, , 
