date,pm25,pm10,o3,no2,so2,co
2022/1/3,68,43,13,25,4,4
2022/1/4,80,55,6,40,4,6
2022/1/5,114,60,15,35,5,6
2022/1/6,120,52,7,50,5,8
2022/1/7,130,54,14,57,5,8
2022/1/8,125,78,23,26,3,8
2022/1/9,169,65,13,53,3,9
2022/1/10,147,31,16,18,2,5
2022/1/11,67,31,14,24,3,4
2022/1/12,66,40,14,22,3,4
2022/1/13,59,34,14,29,4,5
2022/1/14,62,39,2,50,4,7
2022/1/15,82,32,20,20,2,5
2022/1/16,65,26,14,27,3,5
2022/1/17,57,40,12,28,3,4
2022/1/18,70,38,,48,4,7
2022/1/19,89,,,,,
2021/10/1,79,27,41,18,4,4
2021/10/2,55,36,45,15,4,4
2021/10/3,86,34,33,10,4,3
2021/10/4,63,33,33,10,4,4
2021/10/5,56,13,9,19,,4
2021/10/6,43,19,18,22,,4
2021/10/7,61,28,10,31,,5
2021/10/8,86,14,12,23,,4
2021/10/9,39,19,25,13,4,4
2021/10/10,64,41,15,20,4,5
2021/10/11,83,21,15,23,4,3
2021/10/12,53,23,20,28,4,3
2021/10/13,46,26,29,20,,3
2021/10/14,29,48,28,19,,5
2021/10/15,70,41,23,8,4,3
2021/10/16,26,22,24,5,,3
2021/10/17,9,30,13,29,4,4
2021/10/18,36,42,23,24,,4
2021/10/19,77,39,13,28,4,4
2021/10/20,61,54,17,37,4,5
2021/10/21,87,56,21,31,5,5
2021/10/22,88,51,23,39,4,6
2021/10/23,83,37,33,30,4,5
2021/10/24,64,45,26,40,4,5
2021/10/25,76,59,28,48,4,6
2021/10/26,115,62,23,30,4,5
2021/10/27,105,52,16,42,5,5
2021/10/28,80,37,19,41,4,5
2021/10/29,52,28,15,32,4,5
2021/10/30,43,41,31,26,4,6
2021/10/31,74,44,23,32,5,5
2021/11/1,86,48,23,25,4,5
2021/11/2,92,55,21,34,4,5
2021/11/3,109,51,11,42,4,6
2021/11/4,107,75,14,58,5,8
2021/11/5,146,65,24,37,4,5
2021/11/6,124,39,28,29,4,6
2021/11/7,77,9,26,14,,3
2021/11/8,11,11,19,20,,3
2021/11/9,20,22,14,19,4,3
2021/11/10,35,26,14,21,4,3
2021/11/11,34,29,13,21,4,3
2021/11/12,40,36,17,38,4,5
2021/11/13,56,49,32,22,5,5
2021/11/14,81,66,11,46,5,7
2021/11/15,102,55,15,33,4,5
2021/11/16,88,42,10,36,4,5
2021/11/17,75,57,34,32,5,5
2021/11/18,90,80,29,33,4,8
2021/11/19,138,100,12,48,4,10
2021/11/20,180,93,17,40,5,9
2021/11/21,177,44,18,15,4,3
2021/11/22,59,35,14,22,4,3
2021/11/23,43,33,12,31,5,5
2021/11/24,54,59,14,39,5,7
2021/11/25,96,36,15,31,4,4
2021/11/26,62,43,9,33,6,5
2021/11/27,80,47,13,40,6,7
2021/11/28,102,64,6,56,6,8
2021/11/29,135,27,16,28,4,4
2021/11/30,61,20,15,14,4,3
2021/12/1,39,25,7,28,5,5
2021/12/2,54,31,13,20,4,4
2021/12/3,49,28,17,28,4,5
2021/12/6,126,63,9,45,,6
2021/12/7,138,49,10,44,4,5
2021/12/8,99,55,1,56,5,8
2021/12/9,113,39,,39,4,6
2021/12/10,84,59,9,30,4,7
2021/12/11,138,39,19,15,4,5
2021/12/12,79,30,16,24,4,4
2021/12/13,50,33,7,37,5,5
2021/12/14,67,63,14,39,5,7
2021/12/15,130,78,21,49,6,9
2021/12/16,154,38,16,13,4,3
2021/12/17,62,23,17,32,4,5
2021/12/18,47,30,16,23,5,5
2021/12/19,53,54,13,57,5,8
2021/12/20,105,63,12,75,5,8
2021/12/21,125,45,6,50,5,5
2021/12/22,87,53,7,54,4,7
2021/12/23,116,55,20,37,4,6
2021/12/24,120,19,20,5,2,3
2021/12/25,33,12,20,4,,3
2021/12/26,18,31,9,38,4,7
2021/12/27,59,55,,69,4,11
2021/12/28,128,54,13,49,4,9
2021/12/29,130,33,19,22,3,4
2021/12/30,56,28,19,15,2,3
2021/12/31,34,28,12,34,3,5
2022/1/1,60,33,21,21,3,4
2022/1/2,81,28,6,39,4,5
2021/7/1,134,42,38,29,3,4
2021/7/2,82,21,25,15,2,3
2021/7/3,39,11,32,7,,3
2021/7/4,24,36,46,20,3,4
2021/7/5,65,61,66,26,4,5
2021/7/6,135,52,43,28,4,5
2021/7/7,115,31,41,21,3,4
2021/7/8,65,27,31,18,3,4
2021/7/9,57,34,59,11,3,5
2021/7/10,79,38,53,8,3,4
2021/7/11,80,47,70,19,3,4
2021/7/12,94,42,41,24,3,4
2021/7/13,82,29,34,18,3,4
2021/7/14,50,27,35,21,4,4
2021/7/15,52,31,67,28,3,4
2021/7/16,58,30,37,22,3,4
2021/7/17,54,20,55,11,3,3
2021/7/18,42,25,30,24,3,4
2021/7/19,48,45,54,35,3,4
2021/7/20,89,39,46,34,3,5
2021/7/21,80,40,55,32,,4
2021/7/22,74,44,81,29,3,4
2021/7/23,83,38,80,23,2,4
2021/7/24,79,30,43,13,4,4
2021/7/25,62,34,38,17,3,3
2021/7/26,58,49,71,26,4,4
2021/7/27,82,56,84,30,2,5
2021/7/28,106,54,71,25,3,5
2021/7/29,109,37,46,21,4,4
2021/7/30,66,31,53,8,3,4
2021/7/31,59,42,63,11,2,5
2021/8/1,95,21,39,14,4,4
2021/8/2,40,38,37,17,3,4
2021/8/3,75,32,32,14,3,4
2021/8/4,57,38,34,19,2,3
2021/8/5,75,40,26,18,2,3
2021/8/6,71,32,35,9,4,3
2021/8/7,50,35,43,10,2,4
2021/8/8,61,35,31,16,3,3
2021/8/9,61,32,34,15,2,4
2021/8/10,54,49,49,22,3,6
2021/8/11,88,53,66,22,,5
2021/8/12,98,41,27,30,3,5
2021/8/13,68,33,24,15,3,4
2021/8/14,61,17,42,3,2,3
2021/8/15,17,25,48,10,2,4
2021/8/16,29,33,30,17,2,3
2021/8/17,47,30,21,18,3,3
2021/8/18,47,27,34,23,3,3
2021/8/19,37,26,40,20,3,4
2021/8/20,27,16,39,11,2,3
2021/8/21,26,30,44,9,3,5
2021/8/22,48,36,29,27,3,5
2021/8/23,74,19,40,15,2,4
2021/8/24,17,24,34,17,3,4
2021/8/25,16,45,60,17,2,5
2021/8/26,66,43,39,35,3,5
2021/8/27,68,48,51,23,,5
2021/8/28,90,34,42,10,4,4
2021/8/29,70,52,41,27,4,5
2021/8/30,100,45,20,31,2,5
2021/8/31,105,27,18,24,4,4
2021/9/1,49,33,23,30,,4
2021/9/2,60,26,33,22,3,3
2021/9/3,41,19,32,18,3,3
2021/9/4,29,15,27,9,2,
2021/9/5,13,25,24,21,3,3
2021/9/6,38,20,24,19,2,4
2021/9/7,44,23,27,17,3,4
2021/9/8,39,44,38,27,5,5
2021/9/9,82,49,41,27,4,5
2021/9/10,102,42,64,19,7,4
2021/9/11,79,27,43,11,4,4
2021/9/12,44,40,36,30,4,4
2021/9/13,66,35,20,27,4,4
2021/9/14,56,28,22,21,3,3
2021/9/15,30,28,21,26,3,3
2021/9/16,31,23,18,22,3,3
2021/9/17,46,12,31,14,4,3
2021/9/18,29,11,36,16,,4
2021/9/19,27,9,33,8,2,3
2021/9/20,21,11,41,4,3,4
2021/9/21,40,9,35,6,3,3
2021/9/22,33,16,25,14,,3
2021/9/23,44,24,23,25,4,4
2021/9/24,61,10,11,16,3,3
2021/9/25,32,5,26,9,3,3
2021/9/26,19,13,15,22,3,3
2021/9/27,31,13,14,21,2,3
2021/9/28,26,16,17,16,3,4
2021/9/29,42,30,23,22,,4
2021/9/30,67,38,38,26,4,5
2021/4/1,70,52,28,26,5,4
2021/4/2,51,46,23,29,4,4
2021/4/3,75,14,29,4,,3
2021/4/4,25,32,26,21,,3
2021/4/5,44,52,39,29,4,5
2021/4/6,90,61,34,22,4,5
2021/4/7,117,47,36,17,4,3
2021/4/8,71,45,33,26,4,4
2021/4/9,70,33,42,15,5,4
2021/4/10,54,48,46,20,4,4
2021/4/11,82,44,26,30,4,5
2021/4/12,81,19,28,13,4,3
2021/4/13,35,33,32,16,4,3
2021/4/14,58,49,40,23,5,4
2021/4/15,81,66,26,24,4,3
2021/4/16,80,75,27,22,4,4
2021/4/17,70,31,32,8,4,4
2021/4/18,44,51,42,21,5,4
2021/4/19,80,60,49,31,6,4
2021/4/20,106,77,62,46,7,5
2021/4/21,144,68,61,37,9,5
2021/4/22,129,56,37,32,5,4
2021/4/23,89,31,35,16,4,3
2021/4/24,46,31,39,16,4,4
2021/4/25,45,35,36,18,4,3
2021/4/26,50,40,32,22,6,3
2021/4/27,61,54,30,15,4,5
2021/4/28,92,75,41,22,5,4
2021/4/29,91,37,37,20,4,3
2021/4/30,60,29,33,10,4,3
2021/5/1,44,16,37,6,4,3
2021/5/2,18,40,40,20,4,4
