date,pm25,pm10,o3,no2,so2,co
2021/5/3,67,36,26,37,4,5
2021/5/4,69,45,33,10,4,4
2021/5/5,43,67,50,22,5,4
2021/5/6,65,305,33,16,4,3
2021/5/7,144,335,38,12,4,3
2021/5/8,176,53,40,10,4,3
2021/5/9,37,34,21,33,4,4
2021/5/10,54,38,26,31,3,4
2021/5/11,58,31,39,27,1,4
2021/5/12,40,68,60,38,1,5
2021/5/13,126,72,69,40,3,5
2021/5/14,134,51,41,25,4,5
2021/5/15,116,11,37,11,,3
2021/5/16,23,40,22,21,,3
2021/5/17,82,40,26,27,4,5
2021/5/18,81,51,54,24,4,4
2021/5/19,106,55,35,33,3,4
2021/5/20,107,33,31,17,,3
2021/5/21,71,33,39,17,3,3
2021/5/22,66,48,52,15,3,4
2021/5/23,102,96,31,20,3,3
2021/5/24,122,81,36,15,2,3
2021/5/25,107,53,39,17,3,3
2021/5/26,62,46,38,13,2,4
2021/5/27,71,56,42,22,2,5
2021/5/28,107,35,30,15,2,4
2021/5/29,61,38,52,17,2,3
2021/5/30,67,51,33,23,2,4
2021/5/31,94,55,27,27,3,4
2021/6/1,99,60,52,25,4,4
2021/6/2,108,54,29,27,3,3
2021/6/3,99,34,43,17,4,3
2021/6/4,59,54,62,11,4,5
2021/6/5,99,67,68,8,3,4
2021/6/6,121,51,37,24,4,5
2021/6/7,78,65,44,32,5,5
2021/6/8,125,66,94,28,4,4
2021/6/9,134,71,48,36,4,5
2021/6/10,135,26,32,14,3,3
2021/6/11,52,41,39,13,5,4
2021/6/12,83,39,36,18,5,4
2021/6/13,76,56,32,40,4,5
2021/6/14,121,48,18,34,3,5
2021/6/15,100,28,23,19,,3
2021/6/16,38,29,21,17,3,3
2021/6/17,49,22,38,13,2,3
2021/6/18,46,59,58,14,5,4
2021/6/19,128,64,69,9,3,5
2021/6/20,141,56,43,19,4,4
2021/6/21,114,54,46,23,4,4
2021/6/22,108,37,48,21,2,4
2021/6/23,73,49,41,21,4,4
2021/6/24,100,56,40,19,3,4
2021/6/25,116,41,37,19,2,4
2021/6/26,86,28,47,12,2,4
2021/6/27,57,41,26,28,3,4
2021/6/28,84,49,45,27,3,5
2021/6/29,104,55,42,25,5,4
2021/6/30,112,60,68,21,3,4
2021/1/4,84,40,16,18,4,4
2021/1/5,68,29,16,20,4,4
2021/1/6,49,34,19,11,4,3
2021/1/7,44,28,20,12,4,
2021/1/8,45,27,19,14,5,4
2021/1/9,53,28,18,22,5,6
2021/1/10,60,57,6,44,6,8
2021/1/11,122,55,5,43,5,8
2021/1/12,129,80,12,37,6,7
2021/1/13,126,72,8,44,5,7
2021/1/14,114,63,14,36,4,6
2021/1/15,105,48,19,10,4,5
2021/1/16,101,17,20,10,4,4
2021/1/17,37,41,21,17,5,4
2021/1/18,58,38,16,26,4,4
2021/1/19,58,59,6,56,6,8
2021/1/20,106,57,3,67,6,10
2021/1/21,121,54,8,35,4,6
2021/1/22,130,31,16,25,4,5
2021/1/23,69,20,19,24,5,5
2021/1/24,46,49,7,54,5,8
2021/1/25,91,53,18,40,4,7
2021/1/26,126,49,17,25,4,5
2021/1/27,74,41,19,27,4,4
2021/1/28,61,32,20,14,,3
2021/1/29,37,50,13,30,4,5
2021/1/30,81,56,18,34,4,7
2021/1/31,97,60,20,23,4,5
2021/2/1,105,38,20,11,2,3
2021/2/2,59,32,16,20,4,5
2021/2/3,61,29,21,20,3,4
2021/2/4,57,28,15,32,5,4
2021/2/5,59,49,27,20,4,5
2021/2/6,101,61,26,7,4,4
2021/2/7,123,36,19,12,4,3
2021/2/8,60,29,15,28,5,5
2021/2/9,47,36,18,33,5,5
2021/2/10,75,62,23,28,5,6
2021/2/11,137,81,26,37,6,8
2021/2/12,169,84,29,41,5,8
2021/2/13,170,77,25,44,8,8
2021/2/14,164,49,20,20,5,5
2021/2/15,87,29,20,16,4,3
2021/2/16,51,44,21,13,4,3
2021/2/17,38,51,20,16,5,4
2021/2/18,57,46,26,28,5,5
2021/2/19,75,63,25,40,5,6
2021/2/20,111,64,39,24,6,7
2021/2/21,126,66,27,33,5,5
2021/2/22,105,61,22,17,4,4
2021/2/23,67,59,17,36,5,5
2021/2/24,85,70,5,56,5,7
2021/2/25,134,54,17,43,5,5
2021/2/26,102,34,24,31,4,4
2021/2/27,62,29,20,29,4,5
2021/2/28,52,31,24,23,4,4
2021/3/1,73,21,25,22,4,3
2021/3/2,45,48,20,39,5,5
2021/3/3,92,57,18,48,5,6
2021/3/4,110,54,24,44,5,7
2021/3/5,107,45,21,25,4,5
2021/3/6,91,26,24,18,4,4
2021/3/7,52,54,18,36,4,5
2021/3/8,106,59,23,37,4,6
2021/3/9,113,81,18,53,5,7
2021/3/10,162,97,29,55,6,8
2021/3/11,177,82,25,38,6,5
2021/3/12,155,59,35,24,4,5
2021/3/13,129,69,34,23,5,7
2021/3/14,158,74,38,31,5,7
2021/3/15,157,84,31,13,4,4
2021/3/16,79,84,18,30,5,4
2021/3/17,84,85,23,47,6,6
2021/3/18,131,76,27,44,6,6
2021/3/19,118,42,27,21,4,4
2021/3/20,82,45,30,4,4,4
2021/3/21,99,41,27,17,4,4
2021/3/22,52,69,32,21,6,5
2021/3/23,96,59,36,21,5,5
2021/3/24,47,59,45,32,7,4
2021/3/25,103,93,25,51,7,7
2021/3/26,167,68,20,52,5,7
2021/3/27,122,23,36,7,4,4
2021/3/28,51,255,23,16,4,6
2021/3/29,140,116,30,29,4,5
2021/3/30,105,64,20,40,5,5
2021/3/31,102,56,28,28,4,4
2020/10/1,37,27,51,9,4,3
2020/10/2,56,39,44,12,4,4
2020/10/3,67,29,41,9,4,3
2020/10/4,41,33,20,16,4,3
2020/10/5,41,44,27,24,4,3
2020/10/6,72,48,19,33,4,3
2020/10/7,73,31,26,29,4,3
2020/10/8,50,30,34,25,4,3
2020/10/9,49,30,35,23,4,4
2020/10/10,46,28,36,22,,3
2020/10/11,47,49,28,29,4,4
2020/10/12,82,47,24,32,4,3
2020/10/13,68,56,23,34,4,5
2020/10/14,80,51,22,30,4,4
2020/10/15,67,62,13,46,4,4
2020/10/16,100,44,34,27,4,4
2020/10/17,84,41,46,30,4,4
2020/10/18,65,72,41,51,5,6
2020/10/19,138,77,35,56,4,6
2020/10/20,142,60,16,52,4,5
2020/10/21,111,62,23,26,6,4
2020/10/22,95,37,21,18,5,3
2020/10/23,47,34,28,19,5,3
2020/10/24,32,41,33,31,4,4
2020/10/25,64,59,35,50,5,6
2020/10/26,106,73,37,54,5,6
2020/10/27,144,54,27,25,4,3
2020/10/28,84,55,25,35,5,4
2020/10/29,75,61,17,47,5,4
2020/10/30,93,38,36,34,4,5
2020/10/31,58,46,27,20,4,4
2020/11/1,90,56,23,35,4,5
2020/11/2,73,40,18,19,4,3
2020/11/3,46,41,25,26,4,3
2020/11/4,45,45,18,44,4,4
2020/11/5,70,59,12,48,6,5
2020/11/6,108,73,42,22,5,5
2020/11/7,114,53,25,11,4,3
2020/11/8,55,36,17,24,4,3
2020/11/9,34,48,18,37,4,4
2020/11/10,68,61,11,55,5,5
2020/11/11,104,70,12,71,6,6
2020/11/12,133,78,19,63,4,7
2020/11/13,160,72,29,50,4,6
2020/11/14,149,74,35,40,4,7
2020/11/15,151,78,10,57,5,6
2020/11/16,159,65,16,49,4,6
2020/11/17,134,49,17,32,4,4
2020/11/18,107,19,20,12,,4
2020/11/19,33,33,19,16,,3
2020/11/20,63,41,11,29,4,4
2020/11/21,82,29,21,14,4,3
2020/11/22,65,34,17,22,4,3
2020/11/23,65,43,10,36,4,3
2020/11/24,74,57,11,45,5,5
2020/11/25,106,67,14,41,5,5
2020/11/26,142,47,18,28,5,4
2020/11/27,93,28,22,15,4,3
2020/11/28,47,27,22,16,4,3
2020/11/29,51,44,18,33,5,4
2020/11/30,81,52,15,32,5,4
2020/12/1,90,50,13,28,5,4
2020/12/2,83,45,22,26,5,3
2020/12/3,78,46,15,34,4,4
2020/12/4,77,48,16,43,5,5
2020/12/5,84,52,23,38,5,5
2020/12/6,103,64,25,33,5,5
2020/12/7,133,40,17,31,4,3
2020/12/8,66,52,5,47,5,5
2020/12/9,98,63,14,44,5,6
2020/12/10,130,91,12,53,5,9
2020/12/11,172,57,25,31,5,5
2020/12/12,106,36,27,23,4,4
2020/12/13,75,32,20,15,5,3
2020/12/14,50,29,20,18,4,3
2020/12/15,52,31,17,22,4,3
2020/12/16,60,40,10,40,6,5
2020/12/17,73,44,19,31,5,4
2020/12/18,88,35,23,18,5,3
2020/12/19,54,27,25,25,6,4
2020/12/20,55,52,5,63,6,7
2020/12/21,108,54,11,52,6,6
2020/12/22,119,62,22,46,6,6
2020/12/23,144,57,20,28,6,4
2020/12/24,100,32,22,25,5,4
2020/12/25,49,56,19,44,5,7
2020/12/26,102,60,24,35,5,5
2020/12/27,118,68,11,51,5,6
2020/12/28,148,70,21,32,4,6
2020/12/29,144,41,20,13,,3
2020/12/30,48,33,17,24,4,4
2020/12/31,42,27,21,27,6,4
2021/1/1,55,33,25,21,5,3
2021/1/2,47,37,26,25,5,3
2021/1/3,48,47,9,45,6,5
2020/7/1,88,57,67,25,3,6
2020/7/2,149,40,32,27,4,5
2020/7/3,98,33,59,17,2,4
2020/7/4,92,32,53,12,3,4
2020/7/5,94,29,43,21,3,4
2020/7/6,81,17,28,16,2,4
2020/7/7,55,36,38,24,3,5
2020/7/8,88,56,80,27,3,6
2020/7/9,139,32,28,22,2,4
2020/7/10,82,16,29,16,2,4
2020/7/11,48,12,22,14,,4
2020/7/12,45,14,21,18,,4
2020/7/13,53,20,19,15,2,3
2020/7/14,60,28,22,20,2,3
2020/7/15,73,28,37,23,3,4
2020/7/16,67,38,39,28,3,5
2020/7/17,90,41,60,21,3,5
2020/7/18,97,21,32,13,2,4
2020/7/19,74,16,43,15,3,6
2020/7/20,59,33,51,28,2,6
2020/7/21,88,27,44,32,2,6
2020/7/22,90,21,35,23,2,5
2020/7/23,75,11,31,18,3,3
2020/7/24,50,13,21,11,2,3
2020/7/25,42,11,41,9,3,3
2020/7/26,44,34,30,30,3,5
2020/7/27,85,24,26,29,2,6
2020/7/28,62,15,34,28,2,5
2020/7/29,60,22,46,22,4,5
2020/7/30,65,29,44,24,5,5
2020/7/31,71,16,35,10,2,4
2020/8/1,49,10,37,8,2,4
2020/8/2,41,12,51,9,,5
2020/8/3,49,34,49,9,4,5
2020/8/4,86,28,43,13,2,5
2020/8/5,78,15,28,11,2,4
2020/8/6,45,27,21,22,3,5
2020/8/7,70,16,20,19,3,5
2020/8/8,53,8,32,6,3,4
2020/8/9,35,14,27,15,3,5
2020/8/10,46,14,25,19,3,5
2020/8/11,42,30,62,25,4,4
2020/8/12,75,24,53,13,2,4
2020/8/13,58,27,64,14,4,5
2020/8/14,71,32,80,15,2,5
2020/8/15,111,18,38,7,4,4
2020/8/16,57,21,31,11,4,4
2020/8/17,70,33,33,21,3,4
2020/8/18,94,42,24,16,4,3
2020/8/19,110,36,32,16,3,4
2020/8/20,101,37,35,18,3,4
2020/8/21,105,25,24,15,2,4
2020/8/22,74,15,30,9,3,4
2020/8/23,52,28,34,16,3,4
2020/8/24,73,34,33,14,4,4
2020/8/25,80,29,27,19,2,4
2020/8/26,62,22,39,9,3,4
2020/8/27,38,23,50,14,2,4
2020/8/28,54,17,40,11,2,4
2020/8/29,36,17,47,7,3,4
2020/8/30,43,16,23,17,2,4
2020/8/31,27,22,44,20,4,3
2020/9/1,49,26,31,18,3,4
2020/9/2,67,17,37,10,3,3
2020/9/3,28,22,34,19,5,3
2020/9/4,42,38,46,30,4,4
2020/9/5,80,27,24,14,4,3
2020/9/6,64,14,30,10,3,3
2020/9/7,27,36,34,17,,4
2020/9/8,69,30,37,21,4,3
2020/9/9,66,35,42,22,4,4
2020/9/10,76,41,20,34,,4
2020/9/11,86,24,20,18,,3
2020/9/12,53,12,26,9,,2
2020/9/13,20,33,31,22,4,4
2020/9/14,59,40,55,22,4,4
2020/9/15,89,30,31,23,4,
2020/9/16,64,29,32,20,4,3
2020/9/17,49,25,31,21,4,3
2020/9/18,25,24,29,18,4,3
2020/9/19,36,20,28,12,4,3
2020/9/20,27,41,16,31,4,3
2020/9/21,71,32,17,28,4,3
2020/9/22,53,23,16,22,3,3
2020/9/23,33,22,16,22,3,2
2020/9/24,31,34,14,25,4,2
2020/9/25,63,34,26,23,,
2020/9/26,53,21,38,13,,2
2020/9/27,29,39,25,33,4,4
2020/9/28,71,54,40,36,4,4
2020/9/29,100,25,17,20,4,4
2020/9/30,76,19,44,11,4,3
2020/4/1,124,49,25,28,5,4
2020/4/2,103,58,33,28,6,4
2020/4/3,123,65,30,14,4,4
2020/4/4,96,47,34,13,4,3
2020/4/5,76,55,27,34,6,5
2020/4/6,92,54,29,23,5,3
2020/4/7,98,51,27,21,5,3
2020/4/8,78,52,29,21,5,3
2020/4/9,90,49,30,26,5,4
2020/4/10,104,36,32,18,5,4
2020/4/11,81,37,33,14,4,3
2020/4/12,85,37,27,24,4,3
2020/4/13,72,52,40,33,6,4
2020/4/14,106,63,47,42,6,5
2020/4/15,130,58,40,36,6,4
2020/4/16,124,49,27,28,4,4
2020/4/17,105,39,30,14,4,3
2020/4/18,85,31,22,22,4,4
2020/4/19,85,11,21,18,5,3
2020/4/20,47,29,28,15,4,3
2020/4/21,45,65,26,15,5,3
2020/4/22,59,45,29,16,7,3
2020/4/23,62,44,39,21,5,3
2020/4/24,61,55,53,15,6,3
2020/4/25,93,30,38,13,11,3
2020/4/26,62,38,33,24,7,3
2020/4/27,74,40,41,27,7,4
2020/4/28,85,47,46,25,6,4
2020/4/29,97,39,44,27,5,3
2020/4/30,82,50,41,11,4,3
2020/5/1,106,51,37,12,5,3
2020/5/2,109,38,33,17,5,3
2020/5/3,90,41,25,20,5,4
2020/5/4,80,43,28,26,7,4
2020/5/5,93,47,32,32,5,3
2020/5/6,95,41,33,30,5,3
2020/5/7,84,37,32,30,5,3
2020/5/8,77,20,32,19,4,3
2020/5/9,68,34,42,11,4,4
2020/5/10,96,92,40,21,5,5
2020/5/11,132,40,31,17,4,3
2020/5/12,77,37,28,27,4,4
2020/5/13,53,49,34,42,4,5
2020/5/14,82,38,18,38,3,5
2020/5/15,74,31,33,22,4,5
2020/5/16,87,46,48,12,2,5
2020/5/17,115,56,38,27,3,7
2020/5/18,125,25,31,17,2,3
2020/5/19,64,18,23,17,,2
2020/5/20,54,34,30,29,4,3
2020/5/21,82,60,39,31,4,4
2020/5/22,139,50,52,18,5,3
2020/5/23,117,32,36,9,3,3
2020/5/24,85,49,35,25,5,5
2020/5/25,131,51,32,27,3,4
2020/5/26,125,37,44,23,3,3
2020/5/27,88,35,42,29,5,4
2020/5/28,88,42,36,31,4,4
2020/5/29,92,53,111,37,4,5
2020/5/30,122,48,60,26,5,4
2020/5/31,114,27,39,18,4,3
2020/6/1,62,40,38,30,5,5
2020/6/2,94,45,59,16,3,4
2020/6/3,102,40,44,18,3,4
2020/6/4,92,55,51,26,4,4
2020/6/5,114,66,107,27,5,5
2020/6/6,147,47,56,12,4,4
2020/6/7,103,48,47,25,5,4
2020/6/8,102,55,54,32,4,4
2020/6/9,93,45,36,31,6,4
2020/6/10,82,36,36,21,4,4
2020/6/11,75,46,31,41,6,5
2020/6/12,93,56,101,28,5,4
2020/6/13,107,41,42,14,4,4
2020/6/14,82,32,40,17,4,3
2020/6/15,66,59,96,24,4,5
2020/6/16,137,59,69,28,5,6
2020/6/17,131,52,40,30,3,5
2020/6/18,112,42,45,19,2,
2020/6/19,83,42,70,17,4,5
2020/6/20,83,37,62,12,3,4
2020/6/21,82,45,48,28,3,4
2020/6/22,81,46,37,33,4,4
2020/6/23,83,35,26,27,3,4
2020/6/24,81,16,33,17,,4
2020/6/25,39,24,41,17,3,5
2020/6/26,64,29,47,19,4,4
2020/6/27,79,33,42,10,3,5
2020/6/28,85,42,33,30,3,6
2020/6/29,111,22,39,12,,3
2020/6/30,70,34,32,23,3,4
2020/1/1,76,55,3,40,6,6
2020/1/2,123,67,8,39,6,7
2020/1/3,144,62,17,43,6,8
2020/1/4,126,49,18,33,6,6
2020/1/5,107,54,3,46,5,7
2020/1/6,124,40,5,37,4,4
2020/1/7,96,31,22,21,4,5
2020/1/8,76,53,17,22,7,5
2020/1/9,129,67,9,39,7,7
2020/1/10,148,55,19,34,6,7
2020/1/11,126,37,23,14,6,5
2020/1/12,87,32,16,25,6,4
2020/1/13,62,47,9,40,6,5
2020/1/14,98,51,14,33,6,5
2020/1/15,99,53,13,34,6,5
2020/1/16,103,65,11,42,9,6
2020/1/17,130,61,15,40,7,7
2020/1/18,121,57,21,36,5,8
2020/1/19,129,52,21,27,6,5
2020/1/20,89,55,9,46,8,5
2020/1/21,105,58,4,52,6,6
2020/1/22,112,65,23,38,6,6
2020/1/23,142,59,24,19,,6
2020/1/24,150,44,16,22,5,5
2020/1/25,118,34,21,21,4,5
2020/1/26,90,8,25,11,,
2020/1/27,34,32,19,27,4,3
2020/1/28,97,39,13,34,4,4
2020/1/29,100,32,16,35,5,4
2020/1/30,82,45,16,35,5,5
2020/1/31,116,53,24,31,5,6
2020/2/1,138,53,24,24,6,6
2020/2/2,138,26,23,21,4,3
2020/2/3,72,24,22,26,5,4
2020/2/4,76,25,20,13,5,3
2020/2/5,61,40,11,30,6,4
2020/2/6,96,37,14,30,5,4
2020/2/7,99,36,25,18,4,4
2020/2/8,101,26,28,23,6,4
2020/2/9,80,44,19,47,6,5
2020/2/10,123,52,18,61,8,8
2020/2/11,130,57,13,54,7,7
2020/2/12,157,56,17,30,4,6
2020/2/13,152,66,13,43,5,6
2020/2/14,167,61,27,38,5,7
2020/2/15,156,16,20,12,4,4
2020/2/16,65,21,20,17,4,3
2020/2/17,66,19,19,24,4,3
2020/2/18,68,32,9,50,,6
2020/2/19,112,51,10,47,6,6
2020/2/20,143,52,27,44,5,6
2020/2/21,134,49,27,15,4,5
2020/2/22,134,14,30,17,6,3
2020/2/23,53,30,21,35,6,4
2020/2/24,100,31,17,34,4,4
2020/2/25,128,20,18,27,4,3
2020/2/26,66,16,17,31,4,3
2020/2/27,86,37,8,40,5,5
2020/2/28,119,41,26,27,4,4
2020/2/29,105,45,24,20,5,5
2020/3/1,111,43,24,20,5,4
2020/3/2,100,42,27,33,6,4
2020/3/3,115,48,28,20,5,4
2020/3/4,109,38,26,24,5,4
2020/3/5,89,53,14,44,6,4
2020/3/6,122,62,14,47,7,5
2020/3/7,141,64,32,42,5,6
2020/3/8,155,71,23,48,6,6
2020/3/9,153,58,18,26,6,5
2020/3/10,133,39,23,19,5,3
2020/3/11,65,40,26,26,6,4
2020/3/12,67,45,23,19,4,3
2020/3/13,76,44,29,21,6,4
2020/3/14,84,44,26,13,4,4
2020/3/15,70,30,22,21,5,3
2020/3/16,67,49,27,27,5,4
2020/3/17,96,56,33,30,6,5
2020/3/18,118,56,48,16,4,4
2020/3/19,93,44,25,20,4,3
2020/3/20,50,51,36,20,5,3
