date, pm25, pm10, o3, no2, so2, co
2022/1/3, 76, 49, 53, 5, 2, 3
2022/1/4, 77, 61, 35, 9, 2, 4
2022/1/5, 107, 59, 31, 8, 2, 5
2022/1/6, 101, 48, 19, 8, 2, 4
2022/1/7, 79, 53, 38, 7, 2, 4
2022/1/8, 89, 59, 43, 6, 2, 4
2022/1/9, 95, 53, 41, 4, 2, 4
2022/1/10, 85, 53, 23, 7, 2, 6
2022/1/11, 98, 70, 23, 10, 2, 7
2022/1/12, 152, 58, 43, 6, 2, 5
2022/1/13, 108, 57, 51, 6, 2, 5
2022/1/14, 107, 59, 55, 6, 2, 5
2022/1/15, 110, 54, 59, 4, 2, 5
2022/1/16, 93, 66, 40, 8, 2, 6
2022/1/17, 113, 51, 13, 9, 2, 5
2022/1/18, 89, 61, 6, 9, 2, 5
2022/1/19, 106, , , , , 
2021/10/1, 56, 52, 70, 2, 1, 3
2021/10/2, 63, 49, 53, 1, 1, 3
2021/10/3, 57, 48, 49, 1, 1, 3
2021/10/4, 57, 50, 57, 2, 1, 3
2021/10/5, 54, 50, 74, 2, 1, 3
2021/10/6, 61, 42, 44, 1, 1, 3
2021/10/7, 62, 35, 49, 2, 1, 3
2021/10/8, 45, 36, 51, 1, 1, 3
2021/10/9, 41, 43, 50, 2, 1, 3
2021/10/10, 58, 39, 22, 2, 1, 3
2021/10/11, 62, 19, 12, 3, 1, 3
2021/10/12, 21, 15, 12, 2, 1, 2
2021/10/13, 13, 18, 18, 2, 1, 3
2021/10/14, 21, 25, 36, 2, 1, 3
2021/10/15, 26, 26, 38, 2, 1, 2
2021/10/16, 29, 40, 41, 2, 1, 3
2021/10/17, 38, 48, 60, 4, 2, 4
2021/10/18, 54, 52, 63, 3, 2, 3
2021/10/19, 67, 48, 70, 3, 1, 3
2021/10/20, 69, 39, 53, 3, 1, 3
2021/10/21, 50, 36, 41, 6, 1, 4
2021/10/22, 49, 45, 58, 6, 2, 4
2021/10/23, 62, 55, 60, 4, 2, 4
2021/10/24, 79, 50, 57, 5, 1, 4
2021/10/25, 66, 49, 71, 5, 2, 4
2021/10/26, 95, 50, 64, 3, 1, 3
2021/10/27, 92, 60, 66, 5, 2, 3
2021/10/28, 55, 63, 58, 6, 2, 3
2021/10/29, 65, 55, 63, 5, 1, 3
2021/10/30, 63, 52, 55, 4, 2, 3
2021/10/31, 58, 51, 64, 4, 2, 3
2021/11/1, 49, 59, 72, 6, 2, 4
2021/11/2, 71, 58, 73, 5, 2, 4
2021/11/3, 74, 43, 44, 3, 1, 3
2021/11/4, 47, 39, 46, 3, 1, 3
2021/11/5, 36, 36, 36, 3, 1, 3
2021/11/6, 33, 40, 47, 3, 1, 3
2021/11/7, 41, 55, 35, 6, 2, 3
2021/11/8, 49, 62, 41, 7, 2, 4
2021/11/9, 74, 59, 41, 7, 2, 4
2021/11/10, 79, 51, 55, 4, 2, 3
2021/11/11, 68, 54, 49, 4, 2, 3
2021/11/12, 67, 49, 40, 4, 2, 4
2021/11/13, 58, 49, 40, 3, 2, 3
2021/11/14, 63, 50, 50, 2, 1, 3
2021/11/15, 55, 52, 52, 2, 2, 3
2021/11/16, 60, 54, 57, 2, 2, 3
2021/11/17, 58, 52, 42, 4, 2, 4
2021/11/18, 47, 57, 46, 4, 2, 4
2021/11/19, 58, 54, 44, 2, 2, 4
2021/11/20, 59, 57, 49, 2, 2, 4
2021/11/21, 65, 60, 42, 5, 1, 5
2021/11/22, 62, 55, 30, 7, 2, 5
2021/11/23, 67, 57, 51, 6, 2, 5
2021/11/24, 77, 57, 19, 7, 2, 5
2021/11/25, 77, 60, 30, 10, 2, 5
2021/11/26, 88, 50, 37, 5, 2, 5
2021/11/27, 75, 51, 34, 2, 2, 5
2021/11/28, 68, 25, 23, 1, 1, 4
2021/11/29, 26, 50, 37, 2, 1, 4
2021/11/30, 60, 57, 26, 4, 2, 4
2021/12/1, 96, 55, 43, 5, 2, 3
2021/12/2, 89, 48, 45, 5, 2, 3
2021/12/3, 84, 45, 54, 3, 2, 2
2021/12/4, 80, 46, 56, 2, 2, 2
2021/12/5, 77, 42, 43, 4, 2, 3
2021/12/6, 73, 43, 51, 3, 2, 3
2021/12/7, 67, 49, 57, 3, 2, 3
2021/12/8, 82, 53, 54, 2, 2, 3
2021/12/9, 80, 52, 61, 3, 2, 3
2021/12/10, 86, 49, 55, 3, 2, 3
2021/12/11, 84, 50, 48, 3, 2, 4
2021/12/12, 86, 53, 50, 4, 2, 4
2021/12/13, 85, 53, 62, 3, 2, 4
2021/12/14, 92, 60, 64, 3, 2, 5
2021/12/15, 107, 56, 58, 3, 2, 4
2021/12/16, 108, 65, 42, 5, 1, 6
2021/12/17, 114, 62, 31, 5, 2, 5
2021/12/18, 109, 59, 43, 5, 2, 4
2021/12/19, 97, 62, 35, 6, 2, 5
2021/12/20, 114, 54, 7, 5, 2, 5
2021/12/21, 95, 47, 13, 10, 1, 5
2021/12/22, 89, 59, 34, 9, 2, 5
2021/12/23, 99, 69, 33, 8, 1, 5
2021/12/24, 118, 57, 20, 8, 2, 4
2021/12/25, 98, 35, 18, 4, 1, 3
2021/12/26, 61, 43, 11, 7, 2, 3
2021/12/27, 78, 47, 33, 7, 2, 4
2021/12/28, 86, 46, 40, 4, 2, 4
2021/12/29, 80, 58, 41, 7, 2, 4
2021/12/30, 105, 68, 41, 9, 2, 5
2021/12/31, 129, 49, 39, 5, 2, 3
2022/1/1, 80, 41, 39, 3, 2, 3
2022/1/2, 60, 47, 43, 5, 2, 4
2021/7/1, 38, 32, 27, 1, 1, 3
2021/7/2, 34, 29, 38, 2, 1, 3
2021/7/3, 40, 26, 27, 1, 1, 3
2021/7/4, 37, 27, 32, 2, 1, 3
2021/7/5, 41, 34, 40, 3, 1, 4
2021/7/6, 54, 29, 30, 2, 1, 3
2021/7/7, 29, 31, 29, 1, 1, 3
2021/7/8, 34, 25, 36, 1, 1, 3
2021/7/9, 33, 26, 29, 1, 1, 3
2021/7/10, 31, 32, 35, 1, 1, 3
2021/7/11, 38, 33, 39, 1, 1, 3
2021/7/12, 22, 27, 40, 1, 1, 3
2021/7/13, 14, 27, 37, 1, 1, 3
2021/7/14, 16, 25, 33, 1, 1, 3
2021/7/15, 16, 22, 31, 1, 1, 3
2021/7/16, 29, 23, 38, 1, 1, 3
2021/7/17, 43, 24, 38, 1, 1, 3
2021/7/18, 45, 36, 38, 1, 1, 4
2021/7/19, 64, 31, 33, 1, 1, 3
2021/7/20, 58, 38, 43, 2, 1, 3
2021/7/21, 59, 39, 24, 1, 1, 3
2021/7/22, 58, 54, 22, 1, 1, 3
2021/7/23, 59, 50, 28, 1, 1, 3
2021/7/24, 66, 50, 33, 1, 1, 3
2021/7/25, 66, 50, 28, 1, , 3
2021/7/26, 65, 48, 34, 2, 1, 3
2021/7/27, 61, 46, 35, 1, 1, 3
2021/7/28, 64, 41, 25, 1, 1, 3
2021/7/29, 61, 40, 19, 1, 1, 3
2021/7/30, 49, 33, 21, 1, 1, 3
2021/7/31, 51, 27, 32, 1, 1, 2
2021/8/1, 51, 30, 22, 1, 1, 2
2021/8/2, 56, 36, 34, 1, 1, 2
2021/8/3, 62, 33, 30, 1, 1, 2
2021/8/4, 55, 36, 40, 1, , 2
2021/8/5, 62, 55, 41, 1, 1, 2
2021/8/6, 66, 68, 37, 1, 1, 3
2021/8/7, 72, 33, 28, 1, 1, 2
2021/8/8, 56, 32, 23, 1, 1, 2
2021/8/9, 55, 35, 21, 1, 1, 2
2021/8/10, 56, 32, 32, 2, 1, 3
2021/8/11, 50, 35, 38, 2, 1, 3
2021/8/12, 50, 28, 25, 1, 1, 2
2021/8/13, 47, 29, 28, 1, 1, 2
2021/8/14, 46, 33, 31, 1, 1, 2
2021/8/15, 53, 33, 32, 1, 1, 2
2021/8/16, 49, 32, 33, 5, 1, 2
2021/8/17, 48, 21, 23, 3, 1, 2
2021/8/18, 41, 22, 29, 1, 1, 2
2021/8/19, 46, 19, 33, 2, 1, 1
2021/8/20, 42, 18, 30, 1, 1, 1
2021/8/21, 37, 20, 30, 1, 1, 
2021/8/22, 43, 25, 37, 2, 1, 161
2021/8/23, 47, 28, 31, 1, 1, 2
2021/8/24, 43, 33, 37, 1, 1, 2
2021/8/25, 51, 37, 38, 1, 1, 2
2021/8/26, 61, 37, 48, 2, 1, 2
2021/8/27, 59, 42, 45, 1, 1, 2
2021/8/28, 67, 38, 43, 1, 1, 2
2021/8/29, 61, 38, 16, 2, 1, 3
2021/8/30, 58, 29, 32, 1, 1, 3
2021/8/31, 55, 25, 37, 1, 1, 3
2021/9/1, 50, 27, 33, 1, 1, 3
2021/9/2, 52, 25, 40, 1, 1, 3
2021/9/3, 52, 32, 40, 2, 1, 3
2021/9/4, 56, 31, 48, 1, 1, 4
2021/9/5, 53, 25, 36, 1, 1, 3
2021/9/6, 44, 33, 38, 1, 1, 3
2021/9/7, 58, 38, 41, 1, 1, 4
2021/9/8, 60, 42, 42, 1, 1, 4
2021/9/9, 61, 45, 55, 2, 1, 4
2021/9/10, 71, 57, 47, 1, 1, 4
2021/9/11, 79, 52, 23, 1, 1, 2
2021/9/12, 51, 31, 18, 1, 1, 3
2021/9/13, 33, 31, 34, 1, 1, 3
2021/9/14, 48, 31, 36, 1, 1, 2
2021/9/15, 48, 32, 54, 2, 1, 3
2021/9/16, 56, 39, 49, 2, 1, 3
2021/9/17, 66, 48, 68, 2, 1, 4
2021/9/18, 76, 51, 50, 1, 1, 4
2021/9/19, 78, 41, 42, 1, 1, 4
2021/9/20, 64, 31, 30, 1, 1, 3
2021/9/21, 55, 30, 50, 1, 1, 3
2021/9/22, 42, 34, 50, 2, 1, 3
2021/9/23, 27, 42, 44, 1, 1, 3
2021/9/24, 36, 45, 50, 1, 1, 4
2021/9/25, 43, 50, 50, 1, 1, 4
2021/9/26, 49, 56, 59, 1, 1, 4
2021/9/27, 65, 53, 60, 2, 1, 4
2021/9/28, 64, 53, 68, 2, 1, 4
2021/9/29, 63, 58, 67, 2, 1, 3
2021/9/30, 77, 46, 51, 1, 1, 2
2021/4/1, 43, 32, 32, 2, 1, 3
2021/4/2, 42, 42, 38, 2, 1, 3
2021/4/3, 58, 64, 49, 4, 1, 6
2021/4/4, 93, 59, 65, 5, 2, 6
2021/4/5, 78, 67, 62, 6, 2, 5
2021/4/6, 81, 59, 49, 5, 1, 5
2021/4/7, 72, 58, 63, 4, 1, 5
2021/4/8, 81, 53, 56, 4, 1, 4
2021/4/9, 80, 58, 68, 5, 2, 5
2021/4/10, 95, 55, 62, 3, 1, 4
2021/4/11, 77, 46, 55, 2, 1, 4
2021/4/12, 66, 43, 50, 2, 1, 4
2021/4/13, 55, 71, 59, 5, 1, 6
2021/4/14, 92, 58, 60, 5, 1, 5
2021/4/15, 79, 55, 65, 3, 1, 4
2021/4/16, 75, 58, 64, 3, 1, 4
2021/4/17, 73, 64, 69, 2, 1, 4
2021/4/18, 73, 76, 71, 3, 1, 4
2021/4/19, 82, 63, 62, 2, 1, 4
2021/4/20, 79, 66, 78, 2, 1, 4
2021/4/21, 77, 69, 70, 3, 1, 4
2021/4/22, 84, 65, 51, 3, 1, 4
2021/4/23, 76, 51, 68, 3, 1, 4
2021/4/24, 65, 38, 30, 2, 1, 3
2021/4/25, 53, 34, 36, 3, 1, 3
2021/4/26, 19, 31, 34, 2, 1, 3
2021/4/27, 16, 39, 44, 3, 1, 3
2021/4/28, 29, 39, 23, 5, 1, 4
2021/4/29, 47, 40, 73, 3, 1, 4
2021/4/30, 37, 33, 70, 3, 1, 4
2021/5/1, 25, 47, 78, 3, 1, 4
2021/5/2, 58, 68, 46, 4, 1, 5
2021/5/3, 79, 45, 40, 3, 1, 3
2021/5/4, 32, 34, 34, 3, 1, 3
2021/5/5, 26, 54, 59, 6, 1, 4
2021/5/6, 54, 37, 44, 3, 1, 3
2021/5/7, 29, 25, 35, 3, 1, 3
2021/5/8, 14, 22, 38, 2, 1, 3
2021/5/9, 17, 25, 52, 4, 1, 3
2021/5/10, 23, 20, 38, 5, 1, 3
2021/5/11, 13, 15, 32, 3, 1, 3
2021/5/12, 13, 19, 41, 4, 1, 3
2021/5/13, 12, 24, 38, 2, 1, 3
2021/5/14, 15, 27, 31, 1, 1, 3
2021/5/15, 15, 23, 28, 2, 1, 3
2021/5/16, 15, 23, 32, 3, 1, 3
2021/5/17, 15, 24, 40, 3, 1, 3
2021/5/18, 16, 27, 32, 2, 1, 2
2021/5/19, 16, 20, 35, 1, 1, 2
2021/5/20, 16, 18, 33, 2, 1, 3
2021/5/21, 16, 20, 31, 1, 1, 3
2021/5/22, 22, 22, 31, 1, 1, 3
2021/5/23, 26, 16, 44, 2, 1, 3
2021/5/24, 19, , , , , 
2021/5/29, 16, 12, 15, 2, , 2
2021/5/30, 21, 21, 17, 1, , 3
2021/5/31, 21, 20, 20, 1, , 3
2021/6/1, 18, 23, 35, 2, 1, 3
2021/6/2, 16, 25, 36, 2, 1, 3
