date, pm25, pm10, o3, no2, so2, co
2022/1/3, 33, 9, 27, 23, 1, 4
2022/1/4, 36, 4, 32, 16, 1, 2
2022/1/5, 17, 11, 23, 37, 1, 3
2022/1/6, 39, 12, 29, 37, 1, 3
2022/1/7, 43, 13, 24, 35, 2, 6
2022/1/8, 45, 18, 23, 36, 1, 6
2022/1/9, 60, 11, 28, 20, 1, 4
2022/1/10, 45, 17, 18, 38, 1, 5
2022/1/11, 58, 5, 29, 29, 1, 4
2022/1/12, 21, 8, 28, 27, 1, 3
2022/1/13, 27, 5, 30, 28, 1, 4
2022/1/14, 19, 7, 29, 35, 1, 4
2022/1/15, 29, 15, 24, 32, 2, 6
2022/1/16, 53, 16, 19, 44, 2, 6
2022/1/17, 56, 5, 30, 28, 1, 4
2022/1/18, 20, 5, 25, 25, 1, 3
2022/1/19, 19, , , , , 
2021/10/1, 20, 16, 38, 27, 2, 4
2021/10/2, 41, 13, 41, 17, 2, 3
2021/10/3, 47, 20, 32, 24, 2, 6
2021/10/4, 54, 19, 40, 27, 1, 4
2021/10/5, 53, 17, 39, 22, 1, 3
2021/10/6, 50, 13, 27, 25, 1, 3
2021/10/7, 36, 21, 36, 24, 2, 4
2021/10/8, 51, 18, 37, 17, 1, 3
2021/10/9, 49, 18, 37, 18, 2, 3
2021/10/10, 44, 19, 32, 27, 1, 3
2021/10/11, 47, 13, 26, 24, 1, 2
2021/10/12, 36, 7, 22, 24, 1, 2
2021/10/13, 21, 10, 30, 22, 1, 3
2021/10/14, 35, 15, 35, 27, 1, 4
2021/10/15, 49, 17, 25, 22, 1, 4
2021/10/16, 46, 6, 27, 9, 1, 2
2021/10/17, 20, 6, 30, 19, 1, 2
2021/10/18, 21, 10, 19, 33, 1, 4
2021/10/19, 33, 9, 31, 29, 1, 4
2021/10/20, 26, 7, 29, 21, 2, 3
2021/10/21, 23, 9, 26, 31, 1, 3
2021/10/22, 31, 9, 33, 21, 1, 4
2021/10/23, 30, 10, 34, 19, 1, 4
2021/10/24, 38, 16, 19, 37, 1, 5
2021/10/25, 57, 8, 32, 21, 1, 2
2021/10/26, 23, 15, 15, 33, 1, 4
2021/10/27, 50, 14, 36, 28, 1, 4
2021/10/28, 49, 9, 32, 25, 1, 3
2021/10/29, 31, 14, 32, 28, 2, 5
2021/10/30, 50, 20, 24, 25, 1, 5
2021/10/31, 63, 18, 27, 30, 1, 4
2021/11/1, 60, 16, 31, 30, 1, 3
2021/11/2, 56, 13, 39, 23, 1, 4
2021/11/3, 47, 10, 32, 26, 1, 3
2021/11/4, 37, 12, 35, 30, 1, 4
2021/11/5, 43, 9, 34, 21, 1, 3
2021/11/6, 31, 10, 32, 14, 1, 3
2021/11/7, 35, 9, 26, 24, 1, 3
2021/11/8, 33, 15, 15, 33, 1, 5
2021/11/9, 39, 8, 33, 27, 1, 4
2021/11/10, 29, 8, 32, 31, 1, 3
2021/11/11, 28, 10, 31, 34, 1, 4
2021/11/12, 33, 13, 26, 28, 2, 5
2021/11/13, 47, 14, 31, 26, 1, 5
2021/11/14, 52, 17, 29, 42, 2, 5
2021/11/15, 57, 15, 28, 32, 1, 4
2021/11/16, 53, 11, 28, 24, 1, 3
2021/11/17, 40, 19, 16, 40, 2, 6
2021/11/18, 59, 27, 7, 45, 3, 6
2021/11/19, 78, 18, 37, 21, 1, 5
2021/11/20, 54, 15, 27, 13, 1, 4
2021/11/21, 44, 11, 24, 16, 1, 5
2021/11/22, 30, 6, 26, 10, 1, 4
2021/11/23, 17, 6, 26, 11, 1, 4
2021/11/24, 17, 9, 30, 19, 1, 5
2021/11/25, 29, 16, 21, 38, 3, 6
2021/11/26, 54, 6, 27, 20, 1, 3
2021/11/27, 23, 4, 31, 15, , 3
2021/11/28, 20, 14, 11, 37, 2, 5
2021/11/29, 51, 19, 20, 34, 1, 5
2021/11/30, 59, 20, 28, 24, 1, 5
2021/12/1, 40, 7, 20, 26, 2, 4
2021/12/2, 27, 14, 21, 35, 1, 5
2021/12/3, 51, 17, 24, 40, 1, 6
2021/12/4, 59, 6, 24, 11, 1, 3
2021/12/5, 24, 13, 16, 30, 1, 4
2021/12/6, 50, 9, 23, 26, 1, 3
2021/12/7, 34, 4, 26, 17, , 2
2021/12/8, 13, 10, 21, 22, 1, 2
2021/12/9, 35, 12, 16, 33, 1, 4
2021/12/10, 45, 23, 16, 37, 2, 7
2021/12/11, 73, 23, 22, 28, 1, 5
2021/12/12, 66, 7, 26, 24, 1, 3
2021/12/13, 25, 11, 22, 37, 1, 4
2021/12/14, 40, 30, 8, 50, 3, 10
2021/12/15, 90, 24, 28, 47, 2, 8
2021/12/16, 75, 23, 28, 38, 2, 6
2021/12/17, 70, 4, 26, 18, 1, 3
2021/12/18, 18, 13, 18, 29, 2, 7
2021/12/19, 48, 15, 13, 35, 2, 5
2021/12/20, 48, 22, 6, 44, 2, 7
2021/12/21, 67, 10, 29, 31, 1, 5
2021/12/22, 36, 10, 28, 24, 2, 4
2021/12/23, 39, 25, 8, 47, 2, 7
2021/12/24, 80, 24, 28, 32, 1, 4
2021/12/25, 74, 2, 27, 8, 1, 2
2021/12/26, 10, 7, 24, 32, 1, 4
2021/12/27, 27, 7, 28, 33, 1, 4
2021/12/28, 31, 14, 19, 38, 1, 6
2021/12/29, 56, 13, 32, 30, 1, 5
2021/12/30, 50, 3, 30, 11, 1, 3
2021/12/31, 13, 4, 33, 10, 1, 3
2022/1/1, 14, 8, 24, 20, 2, 3
2022/1/2, 35, 7, 29, 18, 1, 4
2021/7/1, 34, 14, 24, 34, 1, 4
2021/7/2, 37, 9, 30, 22, 1, 3
2021/7/3, 30, 6, 21, 13, 1, 2
2021/7/4, 22, 15, 25, 35, 1, 3
2021/7/5, 45, 26, 40, 38, 2, 7
2021/7/6, 76, 42, 80, 27, 1, 5
2021/7/7, 85, 19, 18, 23, 2, 3
2021/7/8, 44, 29, 31, 27, 1, 3
2021/7/9, 52, 34, 39, 15, 1, 4
2021/7/10, 66, 26, 45, 12, 5, 3
2021/7/11, 57, 24, 50, 25, 2, 3
2021/7/12, 56, 25, 51, 30, 2, 3
2021/7/13, 59, 20, 46, 18, 3, 2
2021/7/14, 50, 23, 34, 16, 2, 2
2021/7/15, 55, 17, 25, 11, 1, 2
2021/7/16, 38, 21, 30, 12, 2, 3
2021/7/17, 53, 22, 15, 9, 1, 4
2021/7/18, 46, 24, 49, 15, 3, 4
2021/7/19, 50, 15, 32, 13, 2, 3
2021/7/20, 53, 11, 25, 14, 1, 3
2021/7/21, 42, 13, 24, 14, 1, 4
2021/7/22, 41, 13, 25, 10, 1, 2
2021/7/23, 37, 15, 34, 11, 2, 2
2021/7/24, 36, 18, 36, 10, 2, 2
2021/7/25, 46, 18, 32, 14, 1, 2
2021/7/26, 56, 15, 25, 20, 1, 3
2021/7/27, 39, 23, 31, 17, 1, 3
2021/7/28, 57, 17, 23, 18, 1, 3
2021/7/29, 47, 15, 18, 19, 2, 3
2021/7/30, 44, 14, 32, 12, 2, 2
2021/7/31, 40, 24, 38, 15, 1, 5
2021/8/1, 50, 23, 26, 12, 2, 3
2021/8/2, 44, 23, 12, 8, 1, 3
2021/8/3, 46, 17, 21, 10, 1, 2
2021/8/4, 37, 13, 47, 14, 2, 2
2021/8/5, 34, 14, 38, 11, 1, 2
2021/8/6, 35, 14, 12, 10, 1, 2
2021/8/7, 30, 11, 17, 8, 1, 2
2021/8/8, 24, 37, 24, 7, , 2
2021/8/9, 64, 15, 31, 17, 1, 2
2021/8/10, 40, 14, 47, 17, 2, 3
2021/8/11, 33, 18, 30, 15, 1, 2
2021/8/12, 46, 12, 38, 18, 1, 2
2021/8/13, 27, 14, 12, 10, 1, 2
2021/8/14, 29, 4, 18, 11, 1, 2
2021/8/15, 13, 9, 15, 24, 1, 2
2021/8/16, 25, 19, 16, 22, 1, 4
2021/8/17, 42, 19, 11, 11, 1, 3
2021/8/18, 39, 17, 15, 11, 1, 3
2021/8/19, 36, 17, 14, 12, 1, 3
2021/8/20, 37, 14, 13, 12, 1, 3
2021/8/21, 32, 15, 14, 9, 1, 3
2021/8/22, 33, 20, 42, 24, 2, 3
2021/8/23, 46, 25, 40, 22, 3, 4
2021/8/24, 56, 28, 19, 17, 2, 4
2021/8/25, 57, 47, 129, 32, 3, 5
2021/8/26, 84, 39, 56, 23, 1, 2
